"File","Table","SoftDeletes","RawSQL","Unique","Check","Cascade","Timestamps","CreatedAtCol"
"2026_04_18_142737_create_cache_table.php","cache","False","False","False","False","False","False","False"
"2026_04_18_143629_create_sessions_table.php","sessions","False","False","False","False","False","False","False"
"2026_05_07_000001_create_locations_table.php","locations","True","False","False","False","False","False","False"
"2026_05_07_000002_create_departments_table.php","departments","True","False","True","False","False","False","False"
"2026_05_07_000003_create_object_types_table.php","object_types","True","False","True","False","False","False","False"
"2026_05_07_000004_create_repositories_table.php","repositories","True","False","True","False","False","False","False"
"2026_05_07_000005_create_classifications_table.php","classifications","True","False","True","False","False","False","False"
"2026_05_07_000006_create_constituents_table.php","constituents","True","False","True","False","False","False","False"
"2026_05_07_000006_create_nationalities_table.php","nationalities","True","False","True","False","False","False","False"
"2026_05_07_000007_create_constituent_roles_table.php","constituent_roles","True","False","True","False","False","False","False"
"2026_05_07_000007_create_nationalities_table.php","nationalities","True","False","True","False","False","False","False"
"2026_05_07_000008_create_constituent_prefixes_table.php","constituent_prefixes","True","False","True","False","False","False","False"
"2026_05_07_000008_create_constituent_roles_table.php","constituent_roles","True","False","True","False","False","False","False"
"2026_05_07_000009_create_constituent_prefixes_table.php","constituent_prefixes","True","False","True","False","False","False","False"
"2026_05_07_000009_create_constituent_suffixes_table.php","constituent_suffixes","True","False","True","False","False","False","False"
"2026_05_07_000010_create_constituent_suffixes_table.php","constituent_suffixes","True","False","True","False","False","False","False"
"2026_05_07_000010_create_materials_table.php","materials","True","False","True","False","False","False","False"
"2026_05_07_000011_create_materials_table.php","materials","True","False","True","False","False","False","False"
"2026_05_07_000011_create_tags_table.php","tags","True","False","True","False","False","False","False"
"2026_05_07_000012_create_cultures_table.php","cultures","True","False","True","False","False","False","False"
"2026_05_07_000012_create_tags_table.php","tags","True","False","True","False","False","False","False"
"2026_05_07_000013_create_cultures_table.php","cultures","True","False","True","False","False","False","False"
"2026_05_07_000013_create_periods_table.php","periods","True","False","True","False","False","False","False"
"2026_05_07_000014_create_dynasties_table.php","dynasties","True","False","True","False","False","False","False"
"2026_05_07_000014_create_periods_table.php","periods","True","False","True","False","False","False","False"
"2026_05_07_000015_create_dynasties_table.php","dynasties","True","False","True","False","False","False","False"
"2026_05_07_000015_create_reigns_table.php","reigns","True","False","True","False","False","False","False"
"2026_05_07_000016_create_portfolios_table.php","portfolios","True","False","True","False","False","False","False"
"2026_05_07_000016_create_reigns_table.php","reigns","True","False","True","False","False","False","False"
"2026_05_07_000017_create_geography_types_table.php","geography_types","True","False","True","False","False","False","False"
"2026_05_07_000017_create_portfolios_table.php","portfolios","True","False","True","False","False","False","False"
"2026_05_07_000018_create_countries_table.php","countries","True","False","True","False","False","False","False"
"2026_05_07_000019_create_measurement_elements_table.php","measurement_elements","True","False","True","False","False","False","False"
"2026_05_07_000020_create_measurement_types_table.php","measurement_types","True","False","True","False","False","False","False"
"2026_05_07_000021_create_measurement_units_table.php","measurement_units","True","False","True","False","False","False","False"
"2026_05_07_000022_create_excavations_table.php","excavations","True","False","True","False","False","False","False"
"2026_05_07_000023_create_rivers_table.php","rivers","True","False","True","False","False","False","False"
"2026_05_07_000024_create_ticket_types_table.php","ticket_types","True","False","True","False","False","False","False"
"2026_05_07_000025_create_constituents_table.php","constituents","True","False","True","False","False","False","False"
"2026_05_07_000026_create_users_table.php","users","True","False","True","False","False","False","True"
"2026_05_07_000027_create_guests_table.php","guests","True","False","True","False","False","False","False"
"2026_05_07_000028_create_postal_codes_table.php","postal_codes","False","False","True","False","False","False","False"
"2026_05_07_000029_create_user_profiles_table.php","user_profiles","True","False","True","False","False","False","False"
"2026_05_07_000030_create_states_table.php","states","True","False","True","False","False","False","False"
"2026_05_07_000031_create_regions_table.php","regions","True","False","True","False","False","False","False"
"2026_05_07_000032_create_counties_table.php","counties","True","False","True","False","False","False","False"
"2026_05_07_000033_create_cities_table.php","cities","True","False","True","False","False","False","False"
"2026_05_07_000034_create_subregions_table.php","subregions","True","False","True","False","False","False","False"
"2026_05_07_000035_create_locales_table.php","locales","True","False","True","False","False","False","False"
"2026_05_07_000036_create_loci_table.php","loci","True","False","True","False","False","False","False"
"2026_05_07_000037_create_art_works_table.php","art_works","True","False","True","False","False","False","False"
"2026_05_07_000038_create_carts_table.php","carts","False","True","False","True","False","False","True"
"2026_05_07_000039_create_visit_schedules_table.php","visit_schedules","False","False","True","False","False","False","False"
"2026_05_07_000040_create_orders_table.php","orders","True","True","True","True","False","False","False"
"2026_05_07_000041_create_constituent_nationalities_table.php","constituent_nationalities","False","False","True","False","False","False","False"
"2026_05_07_000042_create_art_work_materials_table.php","art_work_materials","False","False","True","False","False","False","False"
"2026_05_07_000043_create_art_work_constituents_table.php","art_work_constituents","False","False","True","False","False","False","False"
"2026_05_07_000044_create_art_work_images_table.php","art_work_images","True","True","False","False","False","False","False"
"2026_05_07_000045_create_art_work_tags_table.php","art_work_tags","False","False","True","False","False","False","False"
"2026_05_07_000046_create_art_work_cultures_table.php","art_work_cultures","False","False","True","False","False","False","False"
"2026_05_07_000047_create_art_work_periods_table.php","art_work_periods","False","False","True","False","False","False","False"
"2026_05_07_000048_create_art_work_dynasties_table.php","art_work_dynasties","False","False","True","False","False","False","False"
"2026_05_07_000049_create_art_work_reigns_table.php","art_work_reigns","False","False","True","False","False","False","False"
"2026_05_07_000050_create_art_work_portfolios_table.php","art_work_portfolios","False","False","True","False","False","False","False"
"2026_05_07_000051_create_art_work_geographies_table.php","art_work_geographies","True","False","False","False","False","False","False"
"2026_05_07_000052_create_art_work_measurements_table.php","art_work_measurements","True","False","False","False","False","False","False"
"2026_05_07_000053_create_cart_groups_table.php","cart_groups","False","False","False","False","True","False","True"
"2026_05_07_000054_create_ticket_availability_table.php","ticket_availability","False","False","True","False","False","False","False"
"2026_05_07_000055_create_tickets_table.php","tickets","True","False","True","False","False","False","False"
"2026_05_07_000056_create_payments_table.php","payments","False","False","False","False","False","False","False"
"2026_05_07_000057_create_cart_items_table.php","cart_items","False","True","True","True","True","False","False"
