"met_object_id","link_resource","raw_entry","failure_reason"
"436532","http://www.metmuseum.org/art/collection/search/436532","THIS WORK MAY NOT BE LENT.","no_title_and_no_date"
"437053","http://www.metmuseum.org/art/collection/search/437053","THIS WORK MAY NOT BE LENT, BY TERMS OF ITS ACQUISITION BY THE METROPOLITAN MUSEUM OF ART.","no_title_and_no_date"
"437153","http://www.metmuseum.org/art/collection/search/437153","LOAN OF THIS WORK IS RESTRICTED.","no_title_and_no_date"
"436622","http://www.metmuseum.org/art/collection/search/436622","THIS WORK MAY NOT BE LENT, BY TERMS OF ITS ACQUISITION BY THE METROPOLITAN MUSEUM OF ART.","no_title_and_no_date"
"436173","http://www.metmuseum.org/art/collection/search/436173","LOAN OF THIS WORK IS RESTRICTED.","no_title_and_no_date"
"436819","http://www.metmuseum.org/art/collection/search/436819","THIS WORK MAY NOT BE LENT.","no_title_and_no_date"
"435621","http://www.metmuseum.org/art/collection/search/435621","THIS WORK MAY NOT BE LENT.","no_title_and_no_date"
"435826","http://www.metmuseum.org/art/collection/search/435826","THIS WORK MAY NOT BE LENT.","no_title_and_no_date"
"634108","http://www.metmuseum.org/art/collection/search/634108","THIS WORK MAY NOT BE LENT.","no_title_and_no_date"
"437835","http://www.metmuseum.org/art/collection/search/437835","LOAN OF THIS WORK IS RESTRICTED.","no_title_and_no_date"
"437869","http://www.metmuseum.org/art/collection/search/437869","THIS WORK MAY NOT BE LENT.","no_title_and_no_date"
"437879","http://www.metmuseum.org/art/collection/search/437879","THIS WORK MAY NOT BE LENT, BY TERMS OF ITS ACQUISITION BY THE METROPOLITAN MUSEUM OF ART.","no_title_and_no_date"
"437881","http://www.metmuseum.org/art/collection/search/437881","THIS WORK MAY NOT BE LENT.","no_title_and_no_date"
"437769","http://www.metmuseum.org/art/collection/search/437769","THIS WORK MAY NOT BE LENT, BY TERMS OF ITS ACQUISITION BY THE METROPOLITAN MUSEUM OF ART.","no_title_and_no_date"
"438816","http://www.metmuseum.org/art/collection/search/438816","THIS WORK MAY NOT BE LENT.","no_title_and_no_date"
"438820","http://www.metmuseum.org/art/collection/search/438820","THIS WORK MAY NOT BE LENT.","no_title_and_no_date"
"438821","http://www.metmuseum.org/art/collection/search/438821","THIS WORK MAY NOT BE LENT.","no_title_and_no_date"
"438822","http://www.metmuseum.org/art/collection/search/438822","LOAN OF THIS WORK IS RESTRICTED.","no_title_and_no_date"
"440723","http://www.metmuseum.org/art/collection/search/440723","THIS WORK MAY NOT BE LENT, BY TERMS OF ITS ACQUISITION BY THE METROPOLITAN MUSEUM OF ART.","no_title_and_no_date"
"438815","http://www.metmuseum.org/art/collection/search/438815","THIS WORK MAY NOT BE LENT.","no_title_and_no_date"
"438417","http://www.metmuseum.org/art/collection/search/438417","THIS WORK MAY NOT BE LENT, BY TERMS OF ITS ACQUISITION BY THE METROPOLITAN MUSEUM OF ART.","no_title_and_no_date"
"437397","http://www.metmuseum.org/art/collection/search/437397","THIS WORK MAY NOT BE LENT, BY TERMS OF ITS ACQUISITION BY THE METROPOLITAN MUSEUM OF ART.","no_title_and_no_date"
"437299","http://www.metmuseum.org/art/collection/search/437299","THIS WORK MAY NOT BE LENT.","no_title_and_no_date"
"438112","http://www.metmuseum.org/art/collection/search/438112","THIS WORK MAY NOT BE LENT, BY TERMS OF ITS ACQUISITION BY THE METROPOLITAN MUSEUM OF ART.","no_title_and_no_date"
"501796","http://www.metmuseum.org/art/collection/search/501796","Title: Triangular Octave Spinet Maker: Pasquino Querci (Italian, active Florence, 1610–25) Date: 1625 Geography: Florence, Italy Culture: Italian Medium: Wood, various materials Dimensions: Inner Instrument: Length parallel to keyboard 82.0 cm Width perpendicular to keyboard 33.7 cm Depth 121 cm","no_title_and_no_date"
"501796","http://www.metmuseum.org/art/collection/search/501796","3-octave span 47.8 cm","no_title_and_no_date"
"438754","http://www.metmuseum.org/art/collection/search/438754","THIS WORK MAY NOT BE LENT.","no_title_and_no_date"
"436918","http://www.metmuseum.org/art/collection/search/436918","THIS WORK MAY NOT BE LENT, BY TERMS OF ITS ACQUISITION BY THE METROPOLITAN MUSEUM OF ART.","no_title_and_no_date"
"626692","http://www.metmuseum.org/art/collection/search/626692","THIS WORK MAY NOT BE LENT, BY TERMS OF ITS ACQUISITION BY THE METROPOLITAN MUSEUM OF ART.","no_title_and_no_date"
"437056","http://www.metmuseum.org/art/collection/search/437056","THIS WORK MAY NOT BE LENT, BY TERMS OF ITS ACQUISITION BY THE METROPOLITAN MUSEUM OF ART.","no_title_and_no_date"
"435809","http://www.metmuseum.org/art/collection/search/435809","THIS WORK MAY NOT BE LENT.","no_title_and_no_date"
"505572","http://www.metmuseum.org/art/collection/search/505572","Title: Quinton d'Amore Maker: Mathurin-François Remy (French, Mirecourt, active 1760–90) Date: 1755 Geography: Paris, France Culture: French Medium: Maple, spruce Dimensions: Overall: 21 x 10 x 62.4 cm (8 1/4 x 3 15/16 x 24 9/16 in.)","no_title_and_no_date"
"504937","http://www.metmuseum.org/art/collection/search/504937","Weight: under 40 lbs","no_title_and_no_date"
"504860","http://www.metmuseum.org/art/collection/search/504860","Width Upper bout: 6 7/8 in. (17.4 cm) Width Middle bout: 5 3/16 in. (13.2 cm) Width Lower bout: 7 3/8 in. (18.7 cm)","no_title_and_no_date"
"504860","http://www.metmuseum.org/art/collection/search/504860","Rib Height: approximately 1 3/16 in. (3 cm)","no_title_and_no_date"
